book_id_csv,book_id
1126,1585677108
1127,1585677280
1128,1585678767
1129,1586170260
1130,1586631985
1131,1586633570
1132,1586633791
1133,158663822X
1134,1586638491
1135,158663853X
1136,1586853333
1137,158685772X
1138,1587150794
1139,1587150883
1140,1587155877
1141,1587172488
1142,1587420244
1143,1587610914
1144,1587612216
1145,1587670895
1146,1587680262
1147,1588990842
1148,1588993000
1149,1589802438
1150,1589802543
1151,1589880021
1152,1589943074
1153,1589971280
1154,1590170164
1155,1590170318
1156,1590170709
1157,1590170784
1158,1590171039
1159,1590171241
1160,1590171497
1161,1590171705
1162,1590171942
1163,1590172183
1164,1590300068
1165,1590300106
1166,1590301870
1167,1590302087
1168,1590302257
1169,1590303164
1170,1590385810
1171,1590525086
1172,1590525930
1173,1590526856
1174,1590526864
1175,1590526872
1176,1590528603
1177,1590583426
1178,1590592166
1179,1590593898
1180,1590596242
1181,1591146917
1182,1591162025
1183,1591391679
1184,1591583667
1185,1591821576
1186,1592000673
1187,1592241875
1188,1592289800
1189,1592402690
1190,1592441122
1191,1592572227
1192,1592851614
1193,1593070691
1194,1593072597
1195,1593074662
1196,1593075294
1197,159307543X
1198,1593075537
1199,1593076193
1200,1593076274
1201,1593076401
1202,1593076673
1203,1593077092
1204,1593080034
1205,1593080239
1206,1593080360
1207,1593080387
1208,1593080492
1209,1593080549
1210,1593080646
1211,1593081251
1212,1593081537
1213,159308269X
1214,1593082908
1215,1593083777
1216,1593600259
1217,1593761228
1218,1593851170
1219,1593854463
1220,1594130078
1221,1594160007
1222,1594201005
1223,1594481520
1224,1594481571
1225,159448175X
1226,1594481776
1227,1594481938
1228,1594489254
1229,1594489424
1230,1594731403
1231,1594862958
1232,1594865671
1233,1595324844
1234,1595329145
1235,1595540458
1236,1595542329
1237,1595690360
1238,1595820124
1239,1595820310
1240,1595820612
1241,1595820639
1242,1595820930
1243,1595820949
1244,1595821066
1245,1595821074
1246,1596321288
1247,1596792507
1248,1596871326
1249,1597221104
1250,1597221287
1251,1597800449
1252,1597818704
1253,1598161997
1254,1598163329
1255,1598165763
1256,1598165771
1257,1598169467
1258,159990005X
1259,1599982935
1260,1600100295
1261,1600430015
1262,1600961509
1263,1740596463
1264,1740597400
1265,174059746X
1266,1740597621
1267,1740597710
1268,174059908X
1269,1740599241
1270,1741040914
1271,1741044766
1272,1741045916
1273,1741140374
